Date 	"Opening Price
(TZS)"	"Closing Price
(TZS)"	High (TZS)	"Low
(TZS)"	"Turnover
(TZS)
"	"Number of 
deals"	"Outstanding
shares bids"	"Outstanding
Offers"	"Number of 
share 
traded
"	"Market Cap 
(TZS) 
Billions"
02/01/2014	0	0	0	0	0	0	1500	0	0	860
03/01/2014	0	0	0	0	0	0	1500	0	0	860
06/01/2014	8600	8600	8600	8600	9030000	3	1300	0	1050	860
07/01/2014	0	0	0	0	0	0	1800	0	0	860
08/01/2014	8600	8600	8600	8600	2580000	1	1300	0	300	860
09/01/2014	8600	8600	8600	8600	774000	1	2200	0	90	860
10/01/2014	8600	8600	8600	8600	4386000	5	0	1000	510	860
15/01/2014	8600	8600	8600	8600	4472000	7	1300	0	520	860
16/01/2014	0	0	0	0	0	0	1200	0	0	860
17/01/2014	0	0	0	0	0	0	700	0	0	860
20/01/2014	0	0	0	0	0	0	2800	0	0	860
21/01/2014	8600	8600	8600	8600	4300000	1	11900	0	500	860
22/01/2014	8600	8600	8600	8600	25800000	1	21800	0	3000	860
23/01/2014	8600	8600	8600	8600	258000	1	24100	300	30	860
24/01/2014	8800	8800	8800	8800	3520000	4	22900	0	400	880
27/01/2014	8600	8600	8800	8600	104478800	6	6400	10000	12148	860
28/01/2014	8600	8600	8600	8600	86000000	5	500	0	10000	860
29/01/2014	0	0	0	0	0	0	800	0	0	860
30/01/2014	8600	8600	8600	8600	8600000	1	1300	0	1000	860
31/01/2014	8600	8600	8600	8600	860000	1	11300	0	100	860
03/02/2014	8600	8600	8600	8600	18060000	5	9200	0	2100	860
04/02/2014	0	0	0	0	0	0	9500	0	0	860
05/02/2014	8600	8600	8600	8600	34400000	5	8900	0	4000	860
06/02/2014	8600	8600	8600	8600	860000	1	700	0	100	860
07/02/2014	8600	8600	8600	8600	13760000	5	8600	0	1600	860
10/02/2014	8600	8600	8600	8600	18232000	4	9200	0	2120	860
11/02/2014	8600	8600	8600	8600	8686000	5	9400	0	1010	860
12/02/2014	8600	8600	8600	8600	860000	1	8800	0	100	860
13/02/2014	0	0	0	0	0	0	200	300	0	860
14/02/2014	8800	8800	8800	8800	29040000	2	8800	0	3300	880
17/02/2014	8800	8800	8800	8600	1214000	2	8500	0	140	880
18/02/2014	0	0	0	0	0	0	8600	0	0	880
19/02/2014	8800	8800	8800	8600	1654000	2	8600	0	190	880
20/02/2014	8800	8800	8800	8600	1932000	2	1100	0	220	880
21/02/2014	8800	8800	8800	8800	8870400	7	8600	0	1008	880
24/02/2014	8820	8820	8820	8800	3138800	2	8500	0	356	882
25/02/2014	8820	8820	8820	8800	492800	1	8600	0	56	882
26/02/2014	0	0	0	0	0	0	8600	0	0	882
27/02/2014	8820	8820	8820	8820	882000	1	0	0	100	882
28/02/2014	0	0	0	0	0	0	0	0	0	882
03/03/2014	8820	8820	8820	8800	352000	2	0	0	40	882
04/03/2014	0	0	0	0	0	0	8500	0	0	882
05/03/2014	0	0	0	0	0	0	8500	0	0	882
06/03/2014	8800	8800	8800	8800	880000	1	8500	0	100	880
07/03/2014	0	0	0	0	0	0	8500	0	0	880
10/03/2014	0	0	0	0	0	0	200	200	0	880
11/03/2014	8800	8800	8800	8800	3995200	4	200	0	454	880
12/03/2014	8800	8800	8800	8600	163400	1	200	0	19	880
13/03/2014	0	0	0	0	0	0	200	0	0	880
14/03/2014	8900	8900	8900	8900	2634400	4	5100	0	296	890
17/03/2014	0	0	0	0	0	0	5400	0	0	890
18/03/2014	9100	9100	9100	9100	9382100	4	5000	31000	1031	910
19/03/2014		9100	"10,000 10,000 9,100 109,100,000"			3	5200	5000	11000	1000
19/03/2014	0	0	0	0	0	0	5200	5000	0	1000
21/03/2014	9900	9900	9900	9900	156420000	5	1200	5200	15800	990
24/03/2014	9900	9900	9900	9900	68805000	6	5300	1000	6950	990
26/03/2014	9900	9900	"10,000 10,000 9,900"		23800000	3	2100	600	2400	1000
27/03/2014	0	0	0	0	0	0	2200	600	0	1000
28/03/2014	0	0	0	0	0	0	2200	600	0	1000
31/03/2014	0	0	0	0	0	0	800	0	0	1000
01/04/2014	10000	"10,000 10,000"		10000	9000000	3	800	0	900	1000
02/04/2014	10000	"10,000 10,000"		10000	28000000	2	700	0	2800	1000
03/04/2014	10000	"10,000 10,000"		10000	1000000	1	100	0	100	1000
04/04/2014	10000	"10,000 10,000"		10000	216000000	11	0	0	21600	1000
08/04/2014	10000	"10,000 10,000"		10000	430000	1	0	1600	43	1000
09/04/2014	9900	9900	9900	9900	2970000	1	0	1600	300	990
10/04/2014	10000	"10,000 10,000"		10000	16000000	1	1000	0	1600	1000
11/04/2014	10000	"10,000 10,000"		10000	3000000	2	5700	0	300	1000
14/04/2014	0	0	0	0	0	0	5700	0	0	1000
15/04/2014	10000	"10,000 10,000"		10000	10000000	1	5700	0	1000	1000
16/04/2014	0	0	0	0	0	0	5000	0	0	1000
17/04/2014	0	0	0	0	0	0	5700	0	0	1000
22/04/2014	0	0	0	0	0	0	5700	0	0	1000
23/04/2014	0	0	0	0	0	0	5700	0	0	1000
24/04/2014	0	0	0	0	0	0	5700	0	0	1000
25/04/2014	10000	10000	10000	10000	190500000	4	0	0	19050	1000
28/04/2014	10000	10000	10000	10000	6500000	5	1700	0	650	1000
29/04/2014	10000	10000	10000	10000	7470000	2	6000	0	747	1000
30/04/2014	10000	10000	10000	10000	1000000	1	6000	0	100	1000
02/05/2014	0	0	0	0	0	0	6000	0	0	1000
05/05/2014	0	0	0	0	0	0	5000	0	0	1000
06/05/2014	10000	10000	10000	10000	200000	2	6000	0	20	1000
07/05/2014	10000	10000	10000	10000	5000000	1	6000	0	500	1000
08/05/2014	0	0	0	0	0	0	6100	0	0	1000
09/05/2014	10000	10000	10000	10000	21000000	7	6100	0	2100	1000
12/05/2014	10000	10000	10000	10000	10000000	1	5100	0	1000	1000
13/05/2014	0	0	0	0	0	0	5200	0	0	1000
14/05/2014	0	0	0	0	0	0	5200	0	0	1000
15/05/2014	0	0	0	0	0	0	5200	0	0	1000
16/05/2014	10000	10000	10000	10000	5000000	1	200	0	500	1000
19/05/2014	0	0	0	0	0	0	5000	0	0	1000
20/05/2014	0	0	0	0	0	0	5200	0	0	1000
21/05/2014	0	0	0	0	0	0	5200	0	0	1000
22/05/2014	0	0	0	0	0	0	11200	0	0	1000
23/05/2014	10100	10100	10100	10100	4040000	2	6000	0	400	1010
26/05/2014	0	0	0	0	0	0	7200	0	0	1010
27/05/2014	10100	10100	10100	10100	1010000	1	7400	0	100	1010
28/05/2014	10100	10100	10100	10100	1010000	1	1400	0	100	1010
29/05/2014	0	0	0	0	0	0	6500	0	0	1010
30/05/2014	10100	10100	10100	10100	2020000	1	5300	0	200	1010
02/06/2014	10100	10100	10100	10100	121200	2	5100	0	12	1010
03/06/2014	10100	10100	10100	10100	114090000	4	6700	0	4	1010
04/06/2014	0	0	0	0	0	0	1700	0	0	1010
05/06/2014	0	0	0	0	0	0	1700	0	0	1010
06/06/2014	10100	10100	10100	10100	4040000	2	6600	0	400	1010
09/06/2014	0	0	0	0	0	0	5400	0	0	1010
10/06/2014	10100	10100	10100	10100	16160000	2	55400	0	1600	1010
11/06/2014	10100	10100	10120	10100	505400	3	5700	0	50	1010
12/06/2014	0	0	0	0	0	0	700	0	-	1010
13/06/2014	0	0	0	0	0	0	300	0	-	1010
16/06/2014	10100	10100	10100	10100	505000	1	400	0	50	1010
16/06/2014	11000	11000	11000	10200	278450000	9	15500	0	25350	1100
18/06/2014	0	0	0	0	0	0	15500	0	0	1100
19/06/2014	0	0	0	0	0	0	15500	0	0	1100
20/06/2014	11020	11020	11020	11000	17982640	8	15500	0	1632	1102
23/06/2014	11020	11200	11200	11020	6702000	2	300	0	600	1120
24/06/2014	11200	11200	11200	11200	11200000	3	300	0	1000	1120
25/06/2014	0	0	0	0	0	0	5300	0	0	1120
26/06/2014	11200	11200	11200	11200	1120000	1	5200	0	100	1120
27/06/2014	0	0	0	0	0	0	300	0	0	1120
30/06/2014	0	0	0	0	0	0	0	0	0	1120
01/07/2014	0	0	0	0	0	0	0	0	0	1120
01/07/2014	0	0	0	0	0	0	0	0	0	1120
03/07/2014	0	0	0	0	0	0	2100	0	0	1120
04/07/2014	0	0	0	0	0	0	2280	0	0	1120
08/07/2014	0	0	0	0	0	0	2280	0	0	1120
09/07/2014	0	0	0	0	0	0	0	0	0	1120
10/07/2014	11200	11200	11210	11200	"5,600,00"	5	0	0	500	1120
11/07/2014	0	0	0	0	0	0	0	0	0	1120
14/07/2014	0	0	0	0	0	0	0	0	0	1120
15/07/2014	0	0	0	0	0	0	0	0	0	1120
16/07/2014	11220	11220	11210	11210	2917200	4	0	0	260	1122
17/07/2014	11500	11500	11500	11500	64875000	8	0	0	5190	1250
18/07/2014	0	0	0	0	0	0	0	0	0	1250
21/07/2014	13000	13000	13000	13000	13000000	5	0	0	1000	1300
22/07/2014	11220	13000	13000	11220	6972000	6	0	0	550	1300
23/07/2014	13000	13000	13000	13000	130000000	1	0	0	10000	1300
24/07/2014	13000	13000	13000	13000	2600000	1	0	0	200	1300
25/07/2014	13000	13000	13000	13000	35100000	4	0	0	2700	1300
28/07/2014	13000	13000	13000	13000	65000	1	0	0	5	1300
31/07/2014	13000	13000	13000	13000	3900000	3	0	0	300	1300
01/08/2014	0	0	0	0	0	0	0	0	0	1300
04/08/2014	13000	13000	13000	13000	53820000	10	0	0	4140	1300
05/08/2014	13000	13000	13000	13000	27300000	4	0	0	2100	1300
06/08/2014	13000	13000	13000	13000	48360000	9	0	0	3720	1300
07/08/2014	0	0	0	0	0	0	0	0	0	1300
11/08/2014	13100	13100	13100	13100	32750000	2	0	0	2500	1310
12/08/2014	13100	13100	13100	13100	6550000	1	0	0	500	1310
13/08/2014	13100	13100	13100	13100	3406000	2	0	0	260	1310
14/08/2014	13100	13100	13100	13100	9563000	3	0	0	730	1310
15/08/2014	0	0	0	0	0	0	0	0	0	1310
18/08/2014	13100	13430	13500	13100	40300000	2	0	0	3000	1343
19/08/2014	0	0	0	0	0	0	0	0	0	1343
20/08/2014	13100	13100	13100	13100	1572000	1	0	0	120	1310
21/08/2014	13400	13400	13400	13400	40200000	2	0	0	3000	1340
22/08/2014	13120	13120	13120	13120	11025424000	3	0	0	702700	1312
25/08/2014	13100	13100	13100	13100	1572000	1	0	0	120	1310
26/08/2014	13120	13120	13120	13100	2374679200	6	0	0	151500	1312
27/08/2014	13390	13390	13400	13140	15734814000	3	0	0	1002600	1339
28/08/2014	13390	13210	13390	13200	140003400	2	0	0	1060	1321
29/08/2014	0	0	0	0	0	0	0	0	0	1321
01/09/2014	13220	13220	13220	13220	2644000	1	0	0	200	1322
02/09/2014	13220	13220	13220	13220	13220000	1	0	0	1000	1322
03/09/2014	13240	13240	13240	13240	9268000	1	0	0	700	1324
04/09/2014	0	0	0	0	0	0	0	0	0	1324
05/09/2014	0	0	0	0	0	0	0	0	0	1324
08/09/2014	13300	13460	14000	13300	14130000	6	0	0	1050	1346
09/09/2014	0	0	0	0	0	0	0	0	0	1346
10/09/2014	0	0	0	0	0	0	0	0	0	1346
11/09/2014	0	0	0	0	0	0	0	0	0	1346
12/09/2014	15100	15100	15100	15100	4530000	2	48330	0	300	1510
15/09/2014	0	0	0	0	0	0	47670	0	0	1510
16/09/2014	0	0	0	0	0	0	30650	0	0	1510
17/09/2014	0	0	0	0	0	0	10000	0	0	1510
18/09/2014	15500	15500	15500	15500	7750000	1	10420	0	500	1550
19/09/2014	15520	15520	15520	15520	15520000	1	9120	0	1000	1552
22/09/2014	15530	15530	15530	15530	54355000	2	17120	0	3500	1553
23/09/2014	0	0	0	0	0	0	17120	0	0	1553
24/09/2014	15540	15540	15540	15540	4662000	3	18703	0	300	1554
25/09/2014	16000	16000	16000	16000	6400000	2	19097	0	400	1600
26/09/2014	17000	17000	17000	17000	129727000	4	62280	0	7631	1700
29/09/2014	17500	17500	17500	17500	2100000	1	39280	0	120	1750
30/09/2014	17500	17500	17500	17500	1085000000	1	41800	0	70000	1750
01/10/2014	14880	16310	17510	14880	637278700	16	70400	1030	39070	1631
02/10/2014	17510	17510	17510	17510	18035300	4	85730	0	1030	1751
03/10/2014	17510	17510	17510	17510	68236470	11	85900	0	3897	1751
06/10/2014	17510	18000	18000	17520	902277600	3	105370	0	50130	1800
07/10/2014	0	0	0	0	0	0	105400	0	0	1800
08/10/2014	18020	18020	18020	18020	4505000	1	35400	0	250	1802
09/10/2014	20000	20000	20000	20000	50000000	1	20500	2500	2500	2000
10/10/2014	18200	18500	20000	18200	11100000	2	400	2400	600	1850
13/10/2014	20000	18270	20000	18100	2010000	2	300	2520	110	1827
15/10/2014	18270	19500	20000	18000	1061310000	5	25250	2020	70580	1950
16/10/2014	19500	19500	19500	19500	19000000000	1	1340	2000	1000000	1950
17/10/2014	19500	18250	19000	18000	7300000	4	1090	2200	400	1825
20/10/2014	18000	18000	18000	18000	19620000	2	0	2200	1000	1800
21/10/2014	18000	16040	18000	16000	16360000	2	0	3780	1020	1604
22/10/2014	18000	18000	18000	18000	3359160000	10	0	1860	168130	1800
23/10/2014	18000	16180	18000	15300	95760000	7	0	6	5920	1618
24/10/2014	16180	16780	18000	16180	10233800	3	590	6	610	1678
27/10/2014	17760	17760	18000	16180	204270000	4	90	6	11500	1776
28/10/2014	16210	18000	16200	18000	2680722000	5	120	6	165420	1621
29/10/2014	16210	0	0	0	0	0	310	6	0	1621
30/10/2014	16300	16300	16300	16300	4890000	1	310	0	300	1630
31/10/2014	16190	16200	16180	16200	5019600	3	0	0	310	1619
03/11/2014	16000	16000	16000	16000	11200000	3	610	1010	700	1600
04/11/2014	16180	16200	16000	16200	84442000	5	0	1010	5220	1618
05/11/2014	16180	16200	16180	16200	3884000	2	14290	17010	240	1618
06/11/2014	16180	0	0	0	0	0	14290	17010	0	1618
07/11/2014	16200	16210	16200	16210	13610000	4	13650	17010	840	1620
10/11/2014	16200	0	0	0	0	0	14650	17010	0	1620
11/11/2014	16200	0	0	0	0	0	4850	16000	0	1620
12/11/2014	16250	16250	16250	16250	17875000	3	10818	100	1100	1625
13/11/2014	16250	16250	16250	16250	3250000	3	12778	100	200	1625
14/11/2014	16300	16300	16260	16300	76606400	5	13138	100	4700	1630
17/11/2014	16310	16310	16300	16310	14677000	3	13938	100	900	1631
18/11/2014	16490	16500	16300	16500	69268000	6	13928	1000	4200	1649
19/11/2014	16490	0	0	0	0	0	12720	1000	0	1649
20/11/2014	16300	16300	16300	16300	16300000	4	10527	1000	1000	1630
21/11/2014	16300	0	0	0	0	0	317	1000	0	1630
24/11/2014	16300	0	0	0	0	0	317	1000	0	1630
25/11/2014	16300	16300	16300	16300	7335000	11	423	0	450	1630
26/11/2014	16300	0	0	0	0	0	483	4360	0	1630
27/11/2014	16300	0	0		0	0	483	4360	0	1630
28/11/2014	16300	0	0	0	4268057500	1	60	0	243889	1630
01/12/2014	16300	0	0	0	16500000000	1	60	2000	1000000	1630
02/12/2014	16300	0	0	0	0	0	60	2000	0	1630
03/11/2014	16310	16310	16310	16310	163100	1	0	2000	10	1631
04/12/2014	16500	16500	16500		945450000	7	0	0	57300	1650
05/12/2014	16500	16500	16500	16500	99000	1	0	0	6	1650
08/12/2014	16500	16500	16500	16500	195690000	3	0	0	11860	1650
10/12/2014	16500	0	0	0	0	0	0	0	0	1650
11/11/2014	16500	0	0	0	0	0	0	3300	0	1650
12/12/2014	16500	16500	16450	16500	37117500	3	14	3000	2250	1650
15/12/2014	16500	16500	16500	16500	165000	1	4	4000	10	1650
16/12/2014	16500	16500	16500	16500	174735000	4	4	4000	10590	1650
17/12/2014	16500	16500	16500	16500	22275000	4	4	3650	1350	1650
18/12/2014	16500	0	0	0	0	0	4	950	0	1650
19/12/2014	16500	0	0	0	0	0	300	950	0	1650
22/12/2014	16500	16500	16500	16500	825000	1	2550	0	50	1650
23/12/2014	16490	16500	16000	16500	29700000	6	240	1665	1800	1649
24/12/2014	16500	16500	16500	16500	48840000	2	240	6205	2960	1650
29/12/2014	16500	0	0	0	0	0	0	6305	0	1650
30/12/2014	16170	16500	16000		2425000	2	20	12890	150	1617
31/12/2014	16740	17000	16500	17000	245885000	12	20	0	14690	1674
05/01/2015	16300	16000	16000	16000	4800000	4	350	0	300	1600
06/01/2015	16000	16500	16500	16500	4125000	1	850	4600	250	1650
07/01/2015	16500	16000	16000	16000	4800000	3	552	4600	300	1600
08/01/2015	16000	16500	16500	16000	59432000	7	850	4703	3602	1650
09/01/2015	16500	16590	16800	16000	11492500	3	5102	2000	693	1659
13/01/2015	16590	16800	16800	16800	5040000	1	4602	2700	300	1680
14/01/2015	16800	16500	16500	16500	4125000	3	4412	2700	250	1650
15/01/2015	16500	16500	16500	16500	25410000	3	2870	2700	1540	1650
16/01/2015	16500	16500	16500	16500	47355000	3	300	1130	2870	1650
19/01/2015	16500	16500	16500	16500	30195000	4	300	1000	1830	1650
20/01/2015	16500	16500	0	0	0	0	300	1000	0	1650
21/01/2015	16500	16500	0	0	0	0	300	1000	0	1650
22/01/2015	16500	16350	16500	15500	32700000	2	400	1540	2000	1635
23/01/2015	16350	16350	0	0	0	0	400	1400	0	1635
26/01/2015	16350	16370	16500	16350	117823950	6	400	4540	7197	1637
27/01/2015	16370	16500	16500	16500	8250000	3	3260	4540	500	1650
28/01/2015	16500	16500	16500	16500	2621950000	4	2660	5040	154250	1650
29/01/2015	16500	16510	16510	16500	10729000	3	2890	4250	650	1651
30/01/2015	16510	16500	16500	16500	15510000	4	2200	250	940	1650
02/02/2015	16500	17000	17000	17000	17187187000	5	200	0	1011011	1700
03/02/2015	17000	16500	16500	16500	24255000	4	4555	100	1470	1650
04/02/2015	16500	16640	16800	16500	34951000	3	17055	6	2100	1664
05/02/2015	16640	16640	15500	15500	93000	2	20504	100	6	1664
06/02/2015	16640	16640	0	0	0	0	21684	0	0	1664
09/02/2015	16640	16610	16640	16600	4984000	2	21484	0	300	1661
10/02/2015	16610	16920	17000	16600	84600000	2	25364	0	5000	1692
11/02/2015	16920	16920	0	0	0	0	11864	0	0	1692
12/01/2015	16920	17000	17000	17000	35700000	5	27360	0	2100	1700
13/01/2015	17000	17000	17000	17000	10030000	1	26770	3	590	1700
16/02/2015	17000	17000	0	0	0	0	15670	13303	0	1700
17/02/2015	17000	18000	18000	18000	248400000	2	6500	3	13800	1800
18/02/2015	18000	17000	17000	17000	17051000	2	5506	0	1003	1700
19/02/2015	17000	17000	0	0	0	0	5106	4420	0	1700
20/02/2015	17000	17000	17000	17000	1700000	1	5006	4420	100	1700
23/02/2015	17000	17000	17000	17000	7140000	1	1106	4000	420	1700
24/02/2015	17000	17010	17010	17010	34020000	1	7106	4000	2000	1701
25/02/2015	17010	17010	0	0	0	0	7110	4500	0	1701
26/02/2015	17010	17040	17100	17010	27035370	6	5860	0	1587	1704
27/02/2015	17040	17100	17100	17100	28557000	3	4200	0	1670	1710
02/03/2015	17100	17100	17100	17100	4052700	7	9700	12400	237	1710
03/03/2015	17100	17110	17110	17110	4448600	7	9703	4000	260	1711
04/03/2015	17110	17010	17010	17010	145265400	3	11163	4000	8540	1701
05/03/2015	17010	17010	0	0	0	0	2623	4000	0	1701
06/03/2015	17110	17010	17010	17010	145265400	3	11163	4000	8540	1701
09/03/2015	17010	17010	0	0	0	0	4520	0	0	1701
10/03/2015	17010	17010	17020	17010	13611000	2	4110	0	800	1701
11/03/2015	17010	17010	0	0	0	0	3712	0	0	1701
12/03/2015	17010	17010	0	0	0	0	2802	0	0	1701
13/03/2015	17010	17010	0	0	0	0	1302	250	0	1701
16/03/2015	17010	17020	17020	17020	1872200	3	1290	250	110	1702
17/03/2015	17020	17050	17050	17050	11594000	1	960	250	680	1705
18/03/2015	17050	17150	17150	17150	5488000	2	1010	21228	320	1715
19/03/2015	17150	17030	17500	17020	390693740	9	730	170	22938	1703
20/03/2015	17030	17030	0	0	0	0	730	0	0	1703
23/03/2015	17030	17010	17050	17010	12930000	3	0	460	760	1701
24/03/2015	17010	17010	17030	17010	12759300	4	130	1000	750	1701
25/03/2015	17010	17020	17020	17020	510600	1	130	1000	30	1702
26/03/2015	17020	17010	17010	17010	2704590	6	6	3350	159	1701
27/03/2015	17010	17000	17010	17000	357010	2	5	3570	21	1700
30/03/2015	17000	17010	17010	17000	20750000	2	5	3350	1220	1701
31/03/2015	17010	17010	17010	17000	51020000	3	9005	0	3000	1701
01/04/2015	17010	17010	0	0	0	0	9005	0	0	1701
02/04/2015	17010	17000	17000	17000	10200000	1	9000	1000	600	1700
08/04/2015	17000	17000	17000	17000	2040000	1	9000	890	120	1700
09/04/2015	17000	17000	17000	17000	170000	1	9000	880	10	1700
10/04/2015	17000	17000	17000	17000	170000	1	0	1270	10	1700
13/04/2015	17000	17000	0	0	0	0	1000	1310	0	1700
14/04/2015	17000	16500	16500	16500	165000	1	1000	2080	10	1650
15/04/2015	16500	16500	16500	16500	131109000	5	1000	820	7946	1650
16/04/2015	16500	16500	0	0	0	0	1000	2820	0	1650
17/04/2015	16500	16500	16500	16500	165000	1	1000	2810	10	1650
20/04/2015	16500	16500	16500	16500	45210000	3	1010	70	2740	1650
21/04/2015	16500	16500	16500	16500	16500000	2	0	200	1000	1650
22/04/2015	16500	16500	0	0	0	0	1060	1200	0	1650
23/04/2015	16500	16500	16500	16500	5161650000	2	900	2200	300100	1650
24/04/2015	16500	16500	0	0	0	0	1900	2200	0	1650
27/04/2015	16500	16500	16500	16500	1650000	1	1800	2100	100	1650
28/04/2015	16500	16500	0	0	0	0	1800	2000	0	1650
29/04/2015	16500	16500	0	0	0	0	900	1000	0	1650
30/04/2015	16500	16500	16500	16500	8250000	2	0	0	500	1650
04/05/2015	16500	16500	16500	16500	1650000	1	1803	170	100	1650
05/05/2015	16500	16510	16600	16500	27773620	4	733	170	1682	1651
06/05/2015	16510	16500	16500	16500	12094500	4	0	185	733	1650
07/05/2015	16500	16500	16500	16500	82500	1	0	280	5	1650
08/05/2015	16500	16500	0	0	0	0	0	280	0	1650
11/05/2015	16500	16500	16500	16500	4558570500	5	0	0	276277	1650
12/05/2015	16500	16500	0	0	0	0	0	0	0	1650
13/05/2015	16500	16500	0	0	0	0	0	170	0	1650
14/05/2015	16500	16500	0	0	0	0	0	570	0	1650
15/05/2015	16500	16500	0	0	0	0	0	770	0	1650
18/05/2015	16500	16500	0	0	0	0	0	1320	0	1650
19/05/2015	16500	16500	16500	16490	5444900	3	0	1000	330	1650
20/05/2015	16500	16500	0	0	0	0	0	1140	0	1650
21/05/2015	16500	16500	0	0	9404020000	3	0	1140	563880	1650
22/05/2015	16500	16500	16500	16500	67320000	7	0	500	4080	1650
25/05/2015	16500	16500	0	0	0	0	0	890	0	1650
26/05/2015	16500	16500	0	0	0	0	0	890	0	1650
27/05/2015	16500	16500	16500	16500	16665000	5	2270	352	1010	1650
28/05/2015	16500	16500	16500	16500	7458000	4	1921	0	452	1650
29/05/2015	16500	16500	16500	16500	34023000	7	3860	2	2062	1650
01/06/2015	16500	16500	16500	16500	3333000	3	94	0	202	1650
02/06/2015	16500	16500	16500	16500	30063000	8	1272	500	1822	1650
03/06/2015	16500	16500	16500	16500	15675000	4	828	0	950	1650
04/06/2015	16500	16520	16600	16500	991000	2	468	90	60	1652
05/06/2015	16520	16520	16520	16520	101102400	1	468	96	6120	1652
08/06/2015	16520	16520	0	0	0	0	468	96	0	1652
09/06/2015	16520	16500	16500	16500	4620000	2	276	6	280	1650
10/06/2015	16500	16500	16500	16500	1780498500	7	340	6	107909	1650
11/06/2015	16500	16510	16510	16500	1659176000	6	740	1606	100544	1651
12/06/2015	16510	16500	16500	16500	16500000	2	0	3600	1000	1650
15/06/2015	16500	16500	16500	16500	10494000	3	6	3600	636	1650
16/06/2015	16500	16500	16500	16500	42900000	3	9	1600	2600	1650
17/06/2015	16500	16510	17000	16510	43096000	2	9	3590	2610	1651
18/06/2105	16510	16510	16520	16500	60035300	4	103	1000	3636	1651
19/06/2015	16510	16510	16520	16500	3302000	2	3	90	200	1651
22/06/2015	16510	16500	16500	16500	11550000	1	3	2290	700	1650
23/06/2015	16500	16500	16500	16500	41250000	2	220	2795	2500	1650
24/06/2015	16500	16500	16500	16500	3630000	3	200	2795	220	1650
25/06/2015	16500	16520	16600	16500	25109000	8	200	1700	1520	1652
26/06/2015	16520	16510	16510	16510	33020000	1	565	1610	2000	1651
29/06/2015	16510	16510	16600	16500	12875000	3	205	1560	780	1651
30/06/2015	16510	16500	16500	16500	990000	1	5	0	60	1650
01/07/2015	16500	16500	16500	16500	8250000	3	0	0	500	1650
02/06/2015	16500	16500	16500	16500	33000000	1	3005	1500	2000	1650
03/07/2015	16500	16500	0	0	0	0	3000	1860	0	1650
06/07/2015	16500	16500	16500	16500	13035000	4	2210	1860	790	1650
08/07/2015	16500	16500	16500	16500	825000000	2	10	1860	50000	1650
09/07/2015	16500	16500	16500	16500	108735000	4	0	360	6590	1650
10/07/2015	16500	16500	16500	16500	2475000	1	0	2	150	1650
13/07/2015	16500	16500	16500	16500	825016500	3	0	461	50001	1650
14/07/2015	16500	16500	0	0	0	0	0	1761	0	1650
15/07/2015	16500	16500	0	0	0	0	0	10180	0	1650
16/07/2015	16500	16500	16500	16500	825000000	6	0	470	50000	1650
17/07/2015	16500	16500	16500	16500	55605000	7	0	10464	3370	1650
20/07/2015	16500	16500	0	0	0	0	0	10104	0	1650
21/07/2015	16500	16500	0	0	0	0	0	12764	0	1650
22/07/2015	16500	16500	0	0	0	0	0	13764	0	1650
23/07/2015	16500	16500	0	0	0	0	0	3764	0	1650
24/07/2015	16500	16500	0	0	0	0	0	6160	0	1650
27/07/2015	16500	16500	0	0	0	0	0	6510	0	1650
28/07/2015	16500	16500	0	0	0	0	127	5250	0	1650
29/07/2015	16500	16500	16500	16500	1815000	4	128	6550	110	1650
30/07/2015	16500	16400	16400	16400	2406888000	3	108	9030	150420	1640
31/07/2015	16400	16400	0	0	0	0	0	0	0	1640
03/08/2015	16400	16400	16400	16400	164000	1	108	6080	10	1640
04/08/2015	16400	16350	16350	16350	1308000	1	28	7080	80	1635
05/08/2015	16350	16400	16500	16400	820800	4	20	30630	50	1640
06/08/2015	16400	16350	16350	16350	327000	1	0	30630	20	1635
07/08/2015	16350	16350	0	0	0	0	0	28290	0	1635
10/08/2015	16350	16350	0	0	0	0	0	28500	0	1635
11/08/2015	16350	16350	0	0	0	0	0	27625	0	1635
12/08/2015	16350	16350	0	0	0	0	0	2625	0	1635
13/08/2015	16350	16350	0	0	0	0	0	38915	0	1635
14/08/2015	16350	16350	0	0	0	0	0	40917	0	1635
17/08/2015	16350	16350	0	0	0	0	0	40917	0	1635
18/08/2015	16350	16350	0	0	0	0	0	38292	0	1635
19/08/2015	16350	16350	0	0	0	0	0	38542	0	1635
20/08/2015	16350	16350	0	0	0	0	0	36202	0	1635
21/08/2015	16350	16330	16330	16330	163300000	1	0	27750	10000	1633
24/08/2015	16330	16330	16330	16330	34293000	3	0	2750	2100	1633
25/08/2015	16330	16330	0	0	0	0	0	5040	0	1633
26/08/2015	16330	16330	16330	16330	4899000	2	0	5010	300	1633
27/08/2015	16330	16330	0	0	0	0	0	5010	0	1633
28/08/2015	16330	16330	0	0	0	0	0	2510	0	1633
31/08/2015	16330	16330	0	0	0	0	0	5510	0	1633
01/09/2015	16330	16330	16330	16330	3592600	2	0	3000	220	1633
02/09/2015	16330	16330	16330	16330	9798000	4	0	6240	600	1633
03/09/2015	16330	16330	16330	16330	653200	1	0	3950	40	1633
04/09/2015	16330	16330	0	0	0	0	0	3950	0	1633
07/09/2015	16330	16330	0	0	0	0	0	3990	0	1633
08/09/2015	16330	16400	16400	16400	45756000	4	0	1400	2790	1640
09/09/2015	16400	16400	0	0	0	0	0	5565	0	1640
